Parameter Setting,,,,,Bus,,,Overall Processors,Processor 1,,,,,,,,Processor 2,,,,,,,,Processor 3,,,,,,,,Processor 4,,,,,,,
Protocol,Input File,Cache Size,Associativity,Block Size,Data Traffic (Bytes),# Invalidations or Updates,# Write-Backs,# Overall Execution Cycles,# Execution Cycles,# Compute Cycles,# Load/Store Instructions,# Idle Cycles,Data Cache Miss Rate,# Total Accesses,% Public Accesses,% Private Accesses,# Execution Cycles,# Compute Cycles,# Load/Store Instructions,# Idle Cycles,Date Cache Miss Rate,# Total Accesses,% Public Accesses,% Private Accesses,# Execution Cycles,# Compute Cycles,# Load/Store Instructions,# Idle Cycles,Date Cache Miss Rate,# Total Accesses,% Public Accesses,% Private Accesses,# Execution Cycles,# Compute Cycles,# Load/Store Instructions,# Idle Cycles,Date Cache Miss Rate,# Total Accesses,% Public Accesses,% Private Accesses
MESI,blackscholes,1024,1,16,67171840,1530446,202729,367376645,367376645,10430314,2497349,351951633,39.06,1521937,16.28,83.72,349326850,10383276,2490468,333962638,39.79,1499583,16.2,83.8,309419973,10430338,2509057,293971521,40.91,1482587,16.01,83.99,313528697,10394904,2503127,298127539,40.07,1500235,16.01,83.99,
MESI,blackscholes,1024,4,16,29929472,536567,211042,143278717,143278717,10430314,2497349,127853705,16.24,2091904,15.45,84.55,143031564,10383276,2490468,127667352,16.26,2085464,15.46,84.54,137174256,10430338,2509057,121725804,17.57,2068300,15.33,84.67,142334634,10394904,2503127,126933476,16.31,2094783,15.44,84.56,
MESI,blackscholes,2048,4,16,4564080,56106,44747,27909600,27821337,10430314,2497349,12396325,2.1,2444852,18.74,81.26,27909600,10383276,2490468,12545388,1.99,2440964,18.75,81.25,26969336,10430338,2509057,11520884,3.42,2423261,18.38,81.62,27859784,10394904,2503127,12458626,2.11,2450416,18.72,81.28,
MESI,blackscholes,2048,4,32,14603424,105604,81498,37903180,37826536,10430314,2497349,22401524,3.53,2409170,18.35,81.65,37810855,10383276,2490468,22446643,3.46,2404255,18.35,81.65,37221199,10430338,2509057,21772747,4.48,2396763,18.19,81.81,37903180,10394904,2503127,22502022,3.52,2414954,18.35,81.65,
MESI,bodytrack,1024,1,16,140165760,2247150,160186,845229201,845229201,17729254,3270132,820959683,87.57,406437,7.31,92.69,647154829,17120545,3287252,623459780,84.2,519311,16.81,83.19,253821539,17556877,117698,236029266,51.74,56797,21.13,78.87,805434410,17140113,3324919,781644459,88.01,398545,20.3,79.7,
MESI,bodytrack,1024,4,16,84323984,1050861,120064,498819518,496587731,17729254,3270132,472318213,51.9,1572940,9.09,90.91,490331242,17120545,3287252,466636193,52.09,1574924,9.84,90.16,165462680,17556877,117698,147670407,35.78,75588,25.21,74.79,498819518,17140113,3324919,475029567,51.09,1626341,10.11,89.89,
MESI,bodytrack,2048,4,16,35707744,584206,121370,215264206,215264206,17729254,3270132,190994688,19.19,2642669,8.91,91.09,210255734,17120545,3287252,186560685,22.27,2555079,9.88,90.12,83239216,17556877,117698,65446943,31.56,80556,24.35,75.65,213864315,17140113,3324919,190074364,21.46,2611333,10.2,89.8,
MESI,bodytrack,2048,4,32,39769120,298233,91195,121665553,121022842,17729254,3270132,96753324,11.11,2906934,10.73,89.27,119974488,17120545,3287252,96279439,11.41,2912285,8.84,91.16,26464519,17556877,117698,8672246,29.93,82473,23.57,76.43,121665553,17140113,3324919,97875602,11.37,2946719,11.17,88.83,
MESI,fluidanimate,1024,1,16,120673344,2085573,704700,727641229,727641229,11337782,2576503,711150441,69.91,775185,20.19,79.81,541619864,11290799,2407844,525513377,69.72,729091,22.56,77.44,360573338,11337671,2604189,344027289,70.02,780855,13.31,86.69,261921268,11301515,2411465,245796823,69.47,736208,9.84,90.16,
MESI,fluidanimate,1024,4,16,113203040,2031903,587125,691577552,691577552,11337782,2576503,675086764,65.56,887460,13.01,86.99,513767647,11290799,2407844,497661160,66.01,818402,13.65,86.35,185067101,11337671,2604189,168521052,66.35,876272,11.49,88.51,374140565,11301515,2411465,358016120,66.51,807551,11.02,88.98,
MESI,fluidanimate,2048,4,16,106321680,1957203,562112,646749480,646749480,11337782,2576503,630258692,62.55,964873,14.02,85.98,480607673,11290799,2407844,464501186,60.6,948781,12.71,87.29,322514161,11337671,2604189,305968112,63.16,959412,11.43,88.57,213162084,11301515,2411465,197037639,61.19,935772,13.96,86.04,
MESI,fluidanimate,2048,4,32,203344832,1958975,324363,611441724,611441724,11337782,2576503,594950936,63.13,950041,17.68,82.32,460573185,11290799,2407844,444466698,58.83,991367,22.17,77.83,246718127,11337671,2604189,230172078,64.62,921375,19.57,80.43,431989754,11301515,2411465,415865309,56.52,1048424,22.83,77.17,
DRAGON,blackscholes,1024,1,16,76125232,1366555,630334,413329363,413329363,10430314,2497349,397904351,41.25,1467267,15.74,84.26,376853771,10383276,2490468,361489559,41.11,1466569,15.67,84.33,160521836,10430338,2509057,145073384,42.12,1452165,15.27,84.73,211177144,10394904,2503127,195775986,41.54,1463418,15.56,84.44,
DRAGON,blackscholes,1024,4,16,42627128,805869,144845,215941224,215941224,10430314,2497349,200516212,24.54,1884451,16.45,83.55,207104906,10383276,2490468,191740694,23.21,1912535,16.35,83.65,104059181,10430338,2509057,88610729,27.01,1831368,15.64,84.36,114432909,10394904,2503127,99031751,26.45,1841051,15.89,84.11,
DRAGON,blackscholes,2048,4,16,5071112,57940,50259,30171310,30148533,10430314,2497349,14723521,2.19,2442556,18.74,81.26,30171310,10383276,2490468,14807098,2.09,2438512,18.76,81.24,28595301,10430338,2509057,13146849,3.83,2412947,18.38,81.62,29370486,10394904,2503127,13969328,2.51,2440308,18.42,81.58,
DRAGON,blackscholes,2048,4,32,17828956,115847,91754,46617779,46617779,10430314,2497349,31192767,4.01,2397219,18.35,81.65,46593852,10383276,2490468,31229640,3.88,2393724,18.35,81.65,43566688,10430338,2509057,28118236,5.96,2359633,18.01,81.99,44665216,10394904,2503127,29264058,4.67,2386354,18.02,81.98,
DRAGON,bodytrack,1024,1,16,129034836,1702225,593104,776001720,776001720,17729254,3270132,751732202,76.68,762433,1.06,98.94,419864674,17120545,3287252,396169625,76.74,764563,10.68,89.32,347754224,17556877,117698,329961951,54.08,54051,23.14,76.86,516174154,17140113,3324919,492384203,75.06,829386,10.69,89.31,
DRAGON,bodytrack,1024,4,16,115089996,1438946,403926,691137641,691137641,17729254,3270132,666868123,67.49,1063011,1.91,98.09,381099347,17120545,3287252,357404298,69.41,1005679,10.68,89.32,88418239,17556877,117698,70625966,43.5,66501,25.18,74.82,454980817,17140113,3324919,431190866,69.17,1024977,6.46,93.54,
DRAGON,bodytrack,2048,4,16,101418028,1273938,276163,599215337,599215337,17729254,3270132,574945819,55.88,1442917,5.68,94.32,359863908,17120545,3287252,336168859,63.53,1198863,12.83,87.17,62872195,17556877,117698,45079922,35.92,75425,26.46,73.54,403462415,17140113,3324919,379672464,62.87,1234608,13.77,86.23,
DRAGON,bodytrack,2048,4,32,203747404,1282638,239694,602511383,602511383,17729254,3270132,578241865,50.75,1610482,3.82,96.18,408260131,17120545,3287252,384565082,67.5,1068207,13.52,86.48,140658457,17556877,117698,122866184,36.61,74610,25.09,74.91,388898003,17140113,3324919,365108052,66.44,1115757,14.29,85.71,
DRAGON,fluidanimate,1024,1,16,119458948,1808270,834432,720125182,589808596,11337782,2576503,573317808,67.05,848894,21.61,78.39,720125182,11290799,2407844,704018695,67.5,782629,17.94,82.06,299593342,11337671,2604189,283047293,67.93,835109,17.09,82.91,346300719,11301515,2411465,330176274,68.45,760789,21.41,78.59,
DRAGON,fluidanimate,1024,4,16,109226180,1728835,671079,666971240,666971240,11337782,2576503,650480452,61.44,993622,18.32,81.68,496455954,11290799,2407844,480349467,63.46,879896,14.24,85.76,276047228,11337671,2604189,259501179,63.08,961522,19.23,80.77,312757229,11301515,2411465,296632784,63.22,886899,21.76,78.24,
DRAGON,fluidanimate,2048,4,16,102719860,1682074,605108,622412379,622412379,11337782,2576503,605921591,57.76,1088219,19.97,80.03,469753930,11290799,2407844,453647443,58.55,998067,23.04,76.96,262937065,11337671,2604189,246391016,60.73,1022707,22.47,77.53,293819626,11301515,2411465,277695181,59.59,974491,22.94,77.06,
DRAGON,fluidanimate,2048,4,32,200089216,1706307,426850,608065440,608065440,11337782,2576503,591574652,58.57,1067326,20.52,79.48,462858638,11290799,2407844,446752151,57.36,1026730,16.44,83.56,264023004,11337671,2604189,247476955,60.72,1022968,22.41,77.59,283783542,11301515,2411465,267659097,59.75,970621,23.59,76.41,
